issue_date,province_id,lead,probability,base_rate,y_obs
2024-02-06,4,3,0.43708,0.12269,0.0
2024-02-06,4,4,0.391387,0.122768,0.0
2024-02-06,4,5,0.391519,0.122298,0.0
2024-02-06,4,6,0.40622,0.121734,0.0
2024-02-07,4,2,0.42868,0.122611,0.0
2024-02-07,4,3,0.480702,0.12269,0.0
2024-02-07,4,4,0.480231,0.122768,0.0
2024-02-07,4,5,0.459994,0.122298,0.0
2024-02-07,4,6,0.462546,0.121734,0.0
2024-02-08,4,2,0.454592,0.122611,0.0
2024-02-08,4,3,0.525677,0.12269,0.0
2024-02-08,4,4,0.545928,0.122768,0.0
2024-02-08,4,5,0.52013,0.122298,0.0
2024-02-08,4,6,0.536371,0.121734,0.0
2024-02-09,4,2,0.485678,0.122611,0.0
2024-02-09,4,3,0.526139,0.12269,0.0
2024-02-09,4,4,0.51876,0.122768,0.0
2024-02-09,4,5,0.503135,0.122298,0.0
2024-02-09,4,6,0.533095,0.121734,0.0
2024-02-10,4,2,0.455576,0.122611,0.0
2024-02-10,4,3,0.507932,0.12269,0.0
2024-02-10,4,4,0.505631,0.122768,0.0
2024-02-10,4,5,0.485334,0.122298,0.0
2024-02-10,4,6,0.533956,0.121734,0.0
2024-02-11,4,2,0.399701,0.122611,0.0
2024-02-11,4,3,0.450629,0.12269,0.0
2024-02-11,4,4,0.442338,0.122768,0.0
2024-02-11,4,5,0.425931,0.122298,0.0
2024-02-11,4,6,0.484792,0.121734,0.0
2024-02-12,4,2,0.352231,0.122611,0.0
2024-02-12,4,3,0.394251,0.12269,0.0
2024-02-12,4,4,0.387244,0.122768,0.0
2024-02-12,4,5,0.374811,0.122298,0.0
2024-02-12,4,6,0.441126,0.121734,0.0
2024-02-13,4,2,0.324034,0.122611,0.0
2024-02-13,4,3,0.35833,0.12269,0.0
2024-02-13,4,4,0.345485,0.122768,0.0
2024-02-13,4,5,0.352471,0.122298,0.0
2024-02-13,4,6,0.397836,0.121734,0.0
2024-02-14,4,2,0.292548,0.122611,0.0
2024-02-14,4,3,0.326397,0.12269,0.0
2024-02-14,4,4,0.306356,0.122768,0.0
2024-02-14,4,5,0.326744,0.122298,0.0
2024-02-14,4,6,0.364109,0.121734,0.0
2024-02-15,4,2,0.290727,0.122611,0.0
2024-02-15,4,3,0.318426,0.12269,0.0
2024-02-15,4,4,0.300367,0.122768,0.0
2024-02-15,4,5,0.32003,0.122298,0.0
2024-02-15,4,6,0.358224,0.121734,0.0
2024-02-16,4,2,0.288963,0.122611,0.0
2024-02-16,4,3,0.306691,0.12269,0.0
2024-02-16,4,4,0.29544,0.122768,0.0
2024-02-16,4,5,0.313829,0.122298,0.0
2024-02-16,4,6,0.353788,0.121734,0.0
2024-02-17,4,2,0.276828,0.122611,0.0
2024-02-17,4,3,0.294472,0.12269,0.0
2024-02-17,4,4,0.28679,0.122768,0.0
2024-02-17,4,5,0.303731,0.122298,0.0
2024-02-17,4,6,0.352995,0.121734,0.0
2024-02-18,4,2,0.273229,0.122611,0.0
2024-02-18,4,3,0.2882,0.12269,0.0
2024-02-18,4,4,0.283828,0.122768,0.0
2024-02-18,4,5,0.298634,0.122298,0.0
2024-02-18,4,6,0.354431,0.121734,0.0
2024-02-19,4,2,0.274561,0.122611,0.0
2024-02-19,4,3,0.283856,0.12269,0.0
2024-02-19,4,4,0.257945,0.122768,0.0
2024-02-19,4,5,0.285529,0.122298,0.0
2024-02-19,4,6,0.351741,0.121734,0.0
2024-02-20,4,2,0.276462,0.122611,0.0
2024-02-20,4,3,0.282216,0.12269,0.0
2024-02-20,4,4,0.254148,0.122768,0.0
2024-02-20,4,5,0.285038,0.122298,0.0
2024-02-20,4,6,0.342484,0.121734,0.0
2024-02-21,4,2,0.246765,0.122611,0.0
2024-02-21,4,3,0.281621,0.12269,0.0
2024-02-21,4,4,0.344506,0.122768,0.0
2024-02-21,4,5,0.362807,0.122298,0.0
2024-02-21,4,6,0.386327,0.121734,0.0
2024-02-22,4,2,0.257784,0.122611,0.0
2024-02-22,4,3,0.280901,0.12269,0.0
2024-02-22,4,4,0.310765,0.122768,0.0
2024-02-22,4,5,0.319066,0.122298,0.0
2024-02-22,4,6,0.358455,0.121734,0.0
2024-02-23,4,2,0.262833,0.122611,0.0
2024-02-23,4,3,0.286783,0.12269,0.0
2024-02-23,4,4,0.316844,0.122768,0.0
2024-02-23,4,5,0.32976,0.122298,0.0
2024-02-23,4,6,0.361032,0.121734,0.0
2024-02-24,4,2,0.278698,0.122611,0.0
2024-02-24,4,3,0.284752,0.12269,0.0
2024-02-24,4,4,0.281558,0.122768,0.0
2024-02-24,4,5,0.301149,0.122298,0.0
2024-02-24,4,6,0.343638,0.121734,0.0
